AccountID,CustomerID,AccountType,Tenure,OpenDate,Status,LastUpdated
ACC0673,CUST0673,Current,7,2016-11-04,Inactive,2025-03-13 06:55:14.627523
ACC0674,CUST0674,Current,4,2016-11-05,Active,2025-04-09 16:50:14.627541
ACC0675,CUST0675,Fixed,2,2016-11-06,Active,2025-03-13 01:54:14.627556
ACC0676,CUST0676,Current,5,2016-11-07,Active,2025-03-15 14:11:14.627572
ACC0677,CUST0677,Fixed,3,2016-11-08,Active,2025-01-18 16:16:14.627587
ACC0678,CUST0678,Current,6,2016-11-09,Inactive,2025-01-29 12:29:14.627602
ACC0679,CUST0679,Savings,8,2016-11-10,Inactive,2025-03-14 08:48:14.627618
ACC0680,CUST0680,Savings,7,2016-11-11,Inactive,2025-04-15 01:33:14.627633
ACC0681,CUST0681,Fixed,3,2016-11-12,Active,2025-03-08 19:25:14.627649
ACC0682,CUST0682,Current,8,2016-11-13,Inactive,2025-03-19 10:29:14.627673
ACC0683,CUST0683,Current,2,2016-11-14,Inactive,2025-03-20 17:23:14.627690
ACC0684,CUST0684,Savings,9,2016-11-15,Inactive,2025-01-23 20:28:14.627705
ACC0685,CUST0685,Savings,4,2016-11-16,Active,2025-03-17 01:20:14.627721
ACC0686,CUST0686,Fixed,1,2016-11-17,Active,2025-03-21 09:26:14.627736
ACC0687,CUST0687,Savings,8,2016-11-18,Inactive,2025-02-23 04:10:14.627751
ACC0688,CUST0688,Fixed,7,2016-11-19,Active,2025-01-26 23:32:14.627767
ACC0689,CUST0689,Savings,5,2016-11-20,Active,2025-02-27 10:42:14.627787
ACC0690,CUST0690,Savings,5,2016-11-21,Inactive,2025-01-16 06:00:14.627812
ACC0691,CUST0691,Current,7,2016-11-22,Active,2025-02-18 17:07:14.627828
ACC0692,CUST0692,Savings,5,2016-11-23,Active,2025-01-16 13:33:14.627844
ACC0693,CUST0693,Savings,8,2016-11-24,Inactive,2025-03-29 11:50:14.627860
ACC0694,CUST0694,Fixed,6,2016-11-25,Active,2025-04-08 23:08:14.627875
ACC0695,CUST0695,Savings,5,2016-11-26,Active,2025-02-25 01:35:14.627891
ACC0696,CUST0696,Fixed,9,2016-11-27,Active,2025-03-18 00:19:14.627906
ACC0697,CUST0697,Savings,2,2016-11-28,Active,2025-01-16 13:16:14.627922
ACC0698,CUST0698,Savings,1,2016-11-29,Active,2025-03-17 19:02:14.627938
ACC0699,CUST0699,Fixed,8,2016-11-30,Active,2025-02-26 11:00:14.627962
ACC0700,CUST0700,Current,3,2016-12-01,Active,2025-02-18 23:02:14.627985
ACC0701,CUST0701,Fixed,7,2016-12-02,Active,2025-01-18 13:50:14.628001
ACC0702,CUST0702,Fixed,8,2016-12-03,Inactive,2025-04-10 06:00:14.628016
ACC0703,CUST0703,Fixed,6,2016-12-04,Inactive,2025-02-09 21:24:14.628032
ACC0704,CUST0704,Current,9,2016-12-05,Inactive,2025-01-17 00:29:14.628047
ACC0705,CUST0705,Savings,7,2016-12-06,Inactive,2025-01-25 10:43:14.628062
ACC0706,CUST0706,Fixed,5,2016-12-07,Active,2025-04-01 00:47:14.628077
ACC0707,CUST0707,Fixed,8,2016-12-08,Inactive,2025-03-02 15:59:14.628093
ACC0708,CUST0708,Current,2,2016-12-09,Inactive,2025-02-21 20:15:14.628108
ACC0709,CUST0709,Fixed,7,2016-12-10,Active,2025-02-10 00:22:14.628123
ACC0710,CUST0710,Savings,4,2016-12-11,Active,2025-03-04 04:10:14.628146
ACC0711,CUST0711,Current,9,2016-12-12,Active,2025-04-05 03:13:14.628169
ACC0712,CUST0712,Savings,1,2016-12-13,Active,2025-01-15 18:54:14.628194
ACC0713,CUST0713,Savings,7,2016-12-14,Active,2025-03-16 11:11:14.628219
ACC0714,CUST0714,Current,6,2016-12-15,Inactive,2025-03-06 23:07:14.628243
ACC0715,CUST0715,Fixed,8,2016-12-16,Active,2025-03-27 21:50:14.628268
ACC0716,CUST0716,Savings,5,2016-12-17,Inactive,2025-03-18 02:06:14.628284
ACC0717,CUST0717,Savings,1,2016-12-18,Inactive,2025-01-21 10:31:14.628300
ACC0718,CUST0718,Savings,1,2016-12-19,Active,2025-04-09 06:11:14.628315
ACC0719,CUST0719,Savings,9,2016-12-20,Inactive,2025-03-28 18:42:14.628331
ACC0720,CUST0720,Current,6,2016-12-21,Inactive,2025-01-18 19:11:14.628347
ACC0721,CUST0721,Current,5,2016-12-22,Active,2025-04-04 03:57:14.628371
ACC0722,CUST0722,Savings,1,2016-12-23,Inactive,2025-03-16 11:50:14.628394
ACC0723,CUST0723,Fixed,6,2016-12-24,Inactive,2025-03-15 17:14:14.628410
ACC0724,CUST0724,Savings,6,2016-12-25,Inactive,2025-01-24 15:09:14.628426
ACC0725,CUST0725,Fixed,3,2016-12-26,Active,2025-01-20 22:45:14.628441
ACC0726,CUST0726,Savings,8,2016-12-27,Active,2025-03-20 11:49:14.628457
ACC0727,CUST0727,Fixed,1,2016-12-28,Active,2025-03-23 08:19:14.628472
ACC0728,CUST0728,Savings,1,2016-12-29,Inactive,2025-03-24 19:24:14.628487
ACC0729,CUST0729,Fixed,6,2016-12-30,Active,2025-02-14 10:19:14.628503
ACC0730,CUST0730,Savings,1,2016-12-31,Inactive,2025-04-01 12:24:14.628518
ACC0731,CUST0731,Savings,6,2017-01-01,Active,2025-03-09 14:04:14.628533
ACC0732,CUST0732,Fixed,1,2017-01-02,Inactive,2025-03-10 04:30:14.628549
ACC0733,CUST0733,Current,6,2017-01-03,Active,2025-03-20 00:54:14.628564
ACC0734,CUST0734,Fixed,3,2017-01-04,Active,2025-03-08 16:09:14.628581
ACC0735,CUST0735,Current,8,2017-01-05,Inactive,2025-03-22 06:42:14.628604
ACC0736,CUST0736,Savings,6,2017-01-06,Active,2025-02-21 13:32:14.628620
ACC0737,CUST0737,Fixed,1,2017-01-07,Inactive,2025-01-29 16:49:14.628635
ACC0738,CUST0738,Fixed,5,2017-01-08,Active,2025-02-20 21:47:14.628651
ACC0739,CUST0739,Fixed,8,2017-01-09,Active,2025-02-10 06:39:14.628666
ACC0740,CUST0740,Current,3,2017-01-10,Inactive,2025-04-11 05:45:14.628684
ACC0741,CUST0741,Current,6,2017-01-11,Inactive,2025-02-19 11:09:14.628700
ACC0742,CUST0742,Savings,5,2017-01-12,Inactive,2025-02-20 11:02:14.628715
ACC0743,CUST0743,Current,6,2017-01-13,Active,2025-02-01 18:19:14.628731
ACC0744,CUST0744,Current,1,2017-01-14,Inactive,2025-04-12 17:10:14.628755
ACC0745,CUST0745,Savings,7,2017-01-15,Active,2025-04-09 05:55:14.628772
ACC0746,CUST0746,Fixed,9,2017-01-16,Inactive,2025-01-25 22:22:14.628788
ACC0747,CUST0747,Fixed,2,2017-01-17,Inactive,2025-03-11 02:40:14.628803
ACC0748,CUST0748,Savings,5,2017-01-18,Inactive,2025-02-03 23:14:14.628819
ACC0749,CUST0749,Fixed,4,2017-01-19,Inactive,2025-03-02 19:54:14.628834
ACC0750,CUST0750,Current,6,2017-01-20,Inactive,2025-03-27 08:06:14.628850
ACC0751,CUST0751,Savings,6,2017-01-21,Inactive,2025-04-03 23:54:14.628874
ACC0752,CUST0752,Savings,2,2017-01-22,Active,2025-03-24 02:41:14.628896
ACC0753,CUST0753,Savings,2,2017-01-23,Inactive,2025-02-11 14:53:14.628912
ACC0754,CUST0754,Fixed,4,2017-01-24,Active,2025-03-17 15:18:14.628927
ACC0755,CUST0755,Savings,1,2017-01-25,Inactive,2025-02-15 10:01:14.628942
ACC0756,CUST0756,Savings,9,2017-01-26,Inactive,2025-03-20 02:05:14.628958
ACC0757,CUST0757,Savings,7,2017-01-27,Inactive,2025-04-08 07:52:14.628973
ACC0758,CUST0758,Fixed,7,2017-01-28,Active,2025-04-08 08:32:14.628988
ACC0759,CUST0759,Current,3,2017-01-29,Active,2025-04-01 09:43:14.629004
ACC0760,CUST0760,Savings,3,2017-01-30,Inactive,2025-04-02 18:06:14.629027
ACC0761,CUST0761,Current,1,2017-01-31,Active,2025-03-26 11:28:14.629047
ACC0762,CUST0762,Fixed,3,2017-02-01,Inactive,2025-01-27 12:17:14.629063
ACC0763,CUST0763,Fixed,3,2017-02-02,Inactive,2025-03-28 20:57:14.629079
ACC0764,CUST0764,Fixed,4,2017-02-03,Active,2025-04-03 18:46:14.629094
ACC0765,CUST0765,Fixed,4,2017-02-04,Active,2025-02-07 07:40:14.629109
ACC0766,CUST0766,Current,3,2017-02-05,Active,2025-03-28 17:59:14.629124
ACC0767,CUST0767,Savings,8,2017-02-06,Active,2025-02-10 04:35:14.629140
ACC0768,CUST0768,Fixed,8,2017-02-07,Inactive,2025-01-21 04:59:14.629156
ACC0769,CUST0769,Fixed,1,2017-02-08,Active,2025-02-19 23:42:14.629171
ACC0770,CUST0770,Current,7,2017-02-09,Active,2025-03-24 08:02:14.629187
ACC0771,CUST0771,Current,2,2017-02-10,Inactive,2025-03-07 02:46:14.629202
ACC0772,CUST0772,Fixed,1,2017-02-11,Active,2025-02-06 10:17:14.629218
ACC0773,CUST0773,Savings,3,2017-02-12,Active,2025-04-06 10:22:14.629233
ACC0774,CUST0774,Savings,4,2017-02-13,Active,2025-02-21 21:23:14.629269
ACC0775,CUST0775,Fixed,6,2017-02-14,Active,2025-03-12 05:25:14.629300
ACC0776,CUST0776,Current,5,2017-02-15,Inactive,2025-01-18 05:20:14.629317
ACC0777,CUST0777,Fixed,4,2017-02-16,Inactive,2025-01-20 14:18:14.629332
ACC0778,CUST0778,Fixed,8,2017-02-17,Active,2025-02-06 14:02:14.629348
ACC0779,CUST0779,Current,4,2017-02-18,Active,2025-01-28 19:01:14.629363
ACC0780,CUST0780,Fixed,2,2017-02-19,Inactive,2025-01-21 18:08:14.629378
ACC0781,CUST0781,Fixed,3,2017-02-20,Active,2025-01-15 23:45:14.629394
ACC0782,CUST0782,Fixed,6,2017-02-21,Active,2025-02-24 20:52:14.629409
ACC0783,CUST0783,Current,8,2017-02-22,Active,2025-02-21 10:09:14.629425
ACC0784,CUST0784,Savings,8,2017-02-23,Active,2025-01-29 22:43:14.629449
ACC0785,CUST0785,Savings,9,2017-02-24,Active,2025-03-10 01:11:14.629471
ACC0786,CUST0786,Current,7,2017-02-25,Active,2025-03-07 17:31:14.629488
ACC0787,CUST0787,Savings,2,2017-02-26,Active,2025-03-17 07:17:14.629503
ACC0788,CUST0788,Fixed,8,2017-02-27,Active,2025-03-16 06:31:14.629518
ACC0789,CUST0789,Savings,7,2017-02-28,Active,2025-02-10 04:12:14.629534
ACC0790,CUST0790,Fixed,8,2017-03-01,Inactive,2025-03-30 02:49:14.629549
ACC0791,CUST0791,Savings,3,2017-03-02,Inactive,2025-03-28 13:33:14.629564
ACC0792,CUST0792,Current,7,2017-03-03,Inactive,2025-03-19 05:34:14.629580
ACC0793,CUST0793,Savings,9,2017-03-04,Active,2025-03-07 05:31:14.629595
ACC0794,CUST0794,Savings,3,2017-03-05,Active,2025-03-24 20:51:14.629610
ACC0795,CUST0795,Savings,6,2017-03-06,Inactive,2025-03-14 19:29:14.629626
ACC0796,CUST0796,Current,2,2017-03-07,Active,2025-01-28 15:25:14.629641
ACC0797,CUST0797,Savings,2,2017-03-08,Inactive,2025-02-19 03:44:14.629659
ACC0798,CUST0798,Current,5,2017-03-09,Active,2025-04-08 10:42:14.629682
ACC0799,CUST0799,Fixed,5,2017-03-10,Inactive,2025-01-21 01:32:14.629698
